Date of publication,Title of vacancy,URL,Company,About vacancy
6 апреля,"Разработчик на Python (Senior), Москва",https://saransk.hh.ru/vacancy/36532399?query=python, DriverPack Solution, 1. Мы честны друг с другом.
6 апреля,"Специалист / data scientist (big data, прогностическая аналитика, data mining)",https://saransk.hh.ru/vacancy/35895583?query=python,ЗАО Прогностические решения,Участие в проектах по созданию и внедрению аналитических систем и решений. Основные этапы проектов: Желательны навыки владения программным обеспечением IBM SPSS Modeler или аналогичным программным обеспечением обязательно. Желательны навыки владения Python и / или R.
5 апреля,Senior Data Scientist,https://saransk.hh.ru/vacancy/36359628?query=python, Gradient," Имеет опыт работы в качестве Data Scientist от года. Уверенно знает C++ 11. Обладает отличным математическим бэкграундом: линейная алгебра, теория..."
6 апреля,Senior Backend разработчик (Python),https://saransk.hh.ru/vacancy/36521772?query=python, Hello Bali Beautiful,"API для веб и мобильных платформ. Структурированный каталог с возможностью продвинутого поиска по нему. Систему взаимодействия покупателя и продавца с... Уверенное понимание базовых алгоритмов, структур данных, принципов и паттернов проектирования. Отличное знание Python. Уверенное знание SQL (PostgreSQL) и NoSQL (MongoDB). "
6 апреля,Python разработчик,https://saransk.hh.ru/vacancy/34322458?query=python, Новые Облачные Технологии,"Разработка middleware для работы с S3 хранилищами. Разработка сопутствующих подсистем (Поиска/Аутентификации и т.д.). Интеграция решений с существующей... Уверенное владение Python, опыт разработки сетевых приложений. Понимание сетевого стека TCP/IP и основных протоколов. Знание Linux на уровне опытного..."
6 апреля,Разработчик Python / CV,https://saransk.hh.ru/vacancy/36573269?query=python,ООО Коннектом,"Connectome.ai молодая команда разработчиков, решающая различные задачи связанные с видеоаналитикой с помощью компьютерного зрения и нейронных сетей. Хорошее знание Python (или опыт на другом стеке с желанием быстро выучить Python), понимание как работают другие языки и платформы. - "
5 апреля,Разработчик Python / Django,https://saransk.hh.ru/vacancy/36519460?query=python,ООО Смартекс,"Смартекс разрабатывает программные решения для информационной инфраструктуры компаний, автоматизации сложных бизнес-задач и процессов. Выделенное тестовое окружение. Общение в команде... Обладаете навыками и опытом отладки продакшн-систем, в том числе распределенных. У вас есть опыт работы с системами, обрабатывающими большие..."
6 апреля,Программист Python,https://saransk.hh.ru/vacancy/34790297?query=python,АО НИИМЭ,"Разработка алгоритмов обработки данных с применением ML/DL. Обработка изображений и временных рядов. Опыт разработки на Python. Знание одной из библиотек машинного обучения (TensorFlow, PyTorch и др.). Хорошая математическая подготовка. Понимание современных ML..."
5 апреля,Senior Python developer,https://saransk.hh.ru/vacancy/30005963?query=python, NetworkOptix,"Исследование проблем в работе тестируемого продукта с помощью различных инструментов. Библиотека для тестирования — Python-проект для работы с виртуальными машинами... Умение и опыт работы в команде. Уверенные знания Python. Опыт разработки под Linux, знание командной строки Linux. Наличие примеров кода. "
5 апреля,Python developer,https://saransk.hh.ru/vacancy/36114635?query=python, AppQuantum,"Разработкой собственных мобильных игр и приложений. Паблишингом мобильных игр и приложений. Рекламой и маркетингом мобильных игр и приложений.  Опыт работы Python разработчиком от 2-х лет. Наличие законченных проектов API для мобильных приложений. Желание делать красивые, интересные и..."
5 апреля,Программист C++/Python,https://saransk.hh.ru/vacancy/35909189?query=python,АО Интегрис,"Разработка алгоритмов для интеллектуальных транспортных систем. Анализ точности и потенциала прототипов. Реализация и оптимизация алгоритмов (компьютерное зрение, машинное обучение).  Опыт работы программистом С++ или программистом-исследователем Python. Умение и желание разбираться в чужом коде. Знание базовых библиотек python как..."
5 апреля,Разработчик Python,https://saransk.hh.ru/vacancy/36503032?query=python, ИТЕРАНЕТ,"Разработка серверных компонентов систем. Уверенное знание Python 3.x и стандартных библиотек. Опыт работы с web framework Tornado, CherryPy. Опыт работы с корутинами (Python..."
4 апреля,Python Backend Developer (Munchen),https://saransk.hh.ru/vacancy/36414126?query=python, EdgeCase Technology,"Healthy breakfasts and regular team lunches. Strong experience in developing scalable applications in Python 3, using modern frameworks. Experience in developing REST APIs. Experience with SQL..."
5 апреля,Junior Data scientist,https://saransk.hh.ru/vacancy/35218725?query=python,ООО МФК Займ Онлайн,"Несколько сайтов с посещаемостью около 1 млн. посещений в месяц. Большое количество партнеров (телеком операторы, банки, интернет-магазины, онлайн кассы... Уверенный пользователь Excel, SQL. Владением одним или несколькими программами (R, Knime, Python). Знание основ теории вероятности, математической статистики, методов анализа..."
5 апреля,Python senior developer,https://saransk.hh.ru/vacancy/35846205?query=python, BestDoctor, 
5 апреля,Разработчик Python,https://saransk.hh.ru/vacancy/35868679?query=python, Netris,"Разработка серверной части проектов. Сопровождение, оказание консультаций клиентам и сотрудникам отдела технической поддержки по разрабатываемым веб-проектам. Сопровождение существующих веб... Уверенные знания Python. Знание принципов ООП. Опыт работы в GIT. Опыт работы с Linux. Хорошее знание SQL. Опыт сетевого и..."
6 апреля,Разработчик Python,https://saransk.hh.ru/vacancy/36338977?query=python,ООО Сбербанк-Сервис,"Проектирование и разработка сервисов и приложений на Python со сложной бизнес логикой. Интеграция приложений с системами мониторинга и другими корпоративными... Владение Python ( понимание ООП). Умение создавать и оптимизировать SQL-запросы. Ответственность, умение работать в команде; Будет плюсом: Опыт работы с..."
5 апреля,Python developer,https://saransk.hh.ru/vacancy/36267171?query=python, B2Broker Москва," Имеет опыт коммерческой разработки на Python 3 от 6 лет. Знает и умеет использовать: итераторы, генераторы, потоки. Отлично владеет знаниями..."
5 апреля,Team lead Python developer,https://saransk.hh.ru/vacancy/35846186?query=python, BestDoctor, 
5 апреля,Junior Quantitative Researcher,https://saransk.hh.ru/vacancy/31844648?query=python,ООО КВАНТПОРТРУС,"Working with large and complex datasets to build quantitative models which predict future price movements. Applying modern mathematical and statistical... Strong knowledge of probability, statistics, optimization, numerical methods. Good programming skills in Python (numpy, sklearn, pandas, matplotlib, etc.). "
